condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
phase_motion,2,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.000949812999920141,SYNTHETIC,False
phase_motion,3,uniform_DC,1024,0,1024,0,0,0,62,962,0,62,962,,0.060546875,0.0,,SYNTHETIC,False
phase_motion,3,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
phase_motion,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
phase_motion,3,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009570329999633032,SYNTHETIC,False
frequency_dependent_gain,0,uniform_DC,1024,0,1024,0,0,0,1015,9,0,1015,9,,0.9912109375,0.0,,SYNTHETIC,False
frequency_dependent_gain,0,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,0,bounded_interval,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,0.000914929999908054,SYNTHETIC,False
frequency_dependent_gain,1,uniform_DC,1024,0,1024,0,0,0,1019,5,0,1019,5,,0.9951171875,0.0,,SYNTHETIC,False
frequency_dependent_gain,1,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
frequency_dependent_gain,1,bounded_interval,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,0.000893167000072026,SYNTHETIC,False
frequency_dependent_gain,2,uniform_DC,1024,0,1024,0,0,0,1012,12,0,1012,12,,0.98828125,0.0,,SYNTHETIC,False
